LEMMA	WORD_FORM	CHAR_NUMBER	ASPECT	DEFAULT	SYNT-WITH-ADJUNCTS
dać	dalo	4	Imp	1	advmod_expl:pv_xcomp
dać	dać	3	Perf	0	iobj_obj
dać	daj	3	Perf	0	advmod_xcomp
dać	dało	4	Perf	0	advmod_expl:pv_obl_xcomp
dać	dał	3	Perf	0	advmod_iobj_nsubj_obj_obl
dać	dały	4	Perf	0	iobj_nsubj_obj
dać	dał	3	Perf	0	nsubj_obj
dać	dały	4	Perf	0	iobj_nsubj_obj
dać	da	2	Perf	0	advmod_expl:pv
dać	daj	3	Perf	0	advmod_expl:pv_xcomp
dać	daj	3	Perf	0	advmod_expl:pv_xcomp
dać	da	2	Perf	0	advmod_nsubj_obj
dać	dajcie	6	Perf	0	advcl_iobj_obj
dać	dały	4	Perf	0	advmod_expl:pv_nsubj_obl
dać	dały	4	Perf	0	advmod_iobj_nsubj_obl_xcomp
dać	dali	4	Perf	0	advmod_iobj_obj
dać	dać	3	Perf	0	obj
dać	dała	4	Perf	0	advmod_obj
dać	dał	3	Perf	0	obj
dać	da	2	Perf	0	advmod_expl:pv_obl_xcomp
dać	dali	4	Perf	0	iobj_nsubj_obj
dać	dam	3	Perf	0	iobj_obj_obl
dać	dam	3	Perf	0	advmod_obj
dać	daj	3	Perf	0	advmod_xcomp
dać	dał	3	Perf	0	advmod_iobj_nsubj_obj
dać	dał	3	Perf	0	advmod_iobj_obj_obl
dać	dać	3	Perf	0	iobj_obj
kazać	każe	4	Imp	1	nsubj_xcomp
kazać	każą	4	Imp	1	iobj_nsubj_xcomp
kazać	każąc	5	Imp	1	xcomp
kazać	kazali	6	Perf	0	nsubj_xcomp
kazać	kazali	6	Perf	0	nsubj_xcomp
kazać	kazał	5	Perf	0	xcomp
kazać	kazali	6	Perf	0	iobj_obl_xcomp
kazać	kazał	5	Perf	0	nsubj_xcomp
kazać	kazał	5	Perf	0	nsubj_obj
kazać	kazała	6	Perf	0	nsubj_xcomp
kazać	kazał	5	Perf	0	iobj_xcomp
kazać	kazał	5	Perf	0	iobj_xcomp
kazać	każę	4	Perf	0	xcomp
kazać	kazał	5	Perf	0	iobj_nsubj_xcomp
należeć	należy	6	Imp	0	expl:pv_nsubj_obj_obl_obl
należeć	należy	6	Imp	0	advcl_xcomp
należeć	należą	6	Imp	0	nsubj_obl:arg
należeć	należą	6	Imp	0	nsubj_obl:arg
należeć	należą	6	Imp	0	advmod_advmod_advmod_advmod
należeć	należą	6	Imp	0	nsubj_obl:arg
należeć	należy	6	Imp	0	nsubj_obl:arg
należeć	należy	6	Imp	0	advmod_obl_xcomp
należeć	należy	6	Imp	0	nsubj_obl:arg
należeć	należy	6	Imp	0	nsubj_obl:arg
należeć	należało	8	Imp	0	xcomp
należeć	należało	8	Imp	0	obl_xcomp
należeć	należało	8	Imp	0	advcl_xcomp
należeć	należą	6	Imp	0	advmod_nsubj_obl:arg
należeć	należy	6	Imp	0	expl:pv_nsubj_obj_obl
należeć	należąc	7	Imp	0	obl:arg
należeć	należy	6	Imp	0	advmod_advmod_nsubj_obl_obl:arg
należeć	należał	7	Imp	0	nsubj_obl:arg
należeć	należy	6	Imp	0	expl:pv_nsubj_obl
należeć	należy	6	Imp	0	obl_xcomp
należeć	należało	8	Imp	0	nsubj_obl:arg
należeć	należeć	7	Imp	0	advmod_nsubj_obl:arg
należeć	należy	6	Imp	0	advmod_expl:pv_nsubj
należeć	należała	8	Imp	0	nsubj_obl:arg
należeć	należy	6	Imp	0	xcomp
należeć	należy	6	Imp	0	advmod_xcomp
należeć	należy	6	Imp	0	obl_xcomp
należeć	należy	6	Imp	0	obl_xcomp
należeć	należy	6	Imp	0	nsubj_obl:arg
należeć	należało	8	Imp	0	obl:arg
należeć	należy	6	Imp	0	advcl_obl_xcomp
należeć	należał	7	Perf	1	nsubj_obl:arg
posiadać	posiadasz	9	Imp	0	obj
posiadać	posiada	7	Imp	0	nsubj_obj
posiadać	posiadała	9	Imp	0	advmod_obj
posiadać	posiadają	9	Imp	0	obj
posiadać	posiadają	9	Imp	0	advmod_advmod_nsubj_obj
posiadać	posiada	7	Imp	0	nsubj_obj
posiadać	posiada	7	Imp	0	advmod_nsubj_obj
posiadać	posiada	7	Imp	0	nsubj_obj
posiadać	posiada	7	Imp	0	nsubj_obj
posiadać	posiada	7	Imp	0	advmod_nsubj_obj
posiadać	posiadają	9	Imp	0	nsubj_obj
posiadać	posiadasz	9	Imp	0	advmod_advmod_nsubj_obj
posiadać	posiadał	8	Imp	0	nsubj_obl
posiadać	posiadał	8	Perf	1	nsubj_obj_obl